CAREHOME_id	Box_id	caseload_month	wmd.caseload_yr -8	caseload_size	Days_Since_Last_Reading	observ_month	wmd.observ_yr -8	BP	Pulse	O2	Temp	NEWS2(0-4)	NEWS2(5-6)	NEWS2(7+)	NEWS2
XL2KV1	BOX90	JUNE 	2013	8	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2KV1	BOX91	JUNE 	2013	4	0	JUNE 	2013	0	0	0	0	0	0	0	0
XNF7C1	BOX92	JUNE 	2013	9	0	JUNE 	2013	10	17	7	5	0	0	0	0
XL2L31	BOX93	JUNE 	2013	3	21	JUNE 	2013	3	5	2	3	0	0	0	0
XL2L51	BOX94	JUNE 	2013	18	7	JUNE 	2013	23	47	24	21	15	2	0	17
XL2L81	BOX95	JUNE 	2013	23	2	JUNE 	2013	4	9	5	4	2	0	1	3
XL2LC1	BOX96	JUNE 	2013	0	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2ME1	BOX97	JUNE 	2013	4	0	JUNE 	2013	3	89	86	77	1	0	0	1
XL2ME1	BOX98	JUNE 	2013	12	0	JUNE 	2013	46	372	326	283	12	1	0	13
XL2ME1	BOX99	JUNE 	2013	10	1	JUNE 	2013	24	236	212	194	5	0	0	5
XL2LE1	BOX100	JUNE 	2013	21	2	JUNE 	2013	0	28	28	29	0	0	0	0
XL5A51	BOX101	JUNE 	2013	7	70	JUNE 	2013	0	0	0	0	0	0	0	0
XL2MF1	BOX102	JUNE 	2013	5	69	JUNE 	2013	0	0	0	0	0	0	0	0
XL2MF1	BOX103	JUNE 	2013	0	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2MF1	BOX104	JUNE 	2013	4	90	JUNE 	2013	0	0	0	0	0	0	0	0
XL2ML1	BOX105	JUNE 	2013	7	12	JUNE 	2013	6	12	6	6	0	0	0	0
XL2MR1	BOX106	JUNE 	2013	12	86	JUNE 	2013	0	0	0	0	0	0	0	0
XLKMC1	BOX107	JUNE 	2013	0	0	JUNE 	2013	0	0	0	0	0	0	0	0
XNH851	BOX108	JUNE 	2013	4	34	JUNE 	2013	4	8	4	4	4	0	0	4
XL3JV1	BOX109	JUNE 	2013	0	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2J61	BOX110	JUNE 	2013	0	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2JJ1	BOX111	JUNE 	2013	2	57	JUNE 	2013	0	0	0	0	0	0	0	0
XL2PL1	BOX112	JUNE 	2013	26	1	JUNE 	2013	0	1	1	2	0	0	0	0
XM4871	BOX113	JUNE 	2013	14	0	JUNE 	2013	34	68	34	35	18	4	7	29
XNFCG1	BOX114	JUNE 	2013	1	0	JUNE 	2013	0	0	0	0	0	0	0	0
XNFCG1	BOX115	JUNE 	2013	8	0	JUNE 	2013	0	0	0	0	0	0	0	0
XNFCG1	BOX116	JUNE 	2013	10	45	JUNE 	2013	0	0	0	0	0	0	0	0
XNFCG1	BOX117	JUNE 	2013	8	45	JUNE 	2013	0	0	0	0	0	0	0	0
XNFCG1	BOX118	JUNE 	2013	1	0	JUNE 	2013	0	0	0	0	0	0	0	0
XNFCG1	BOX119	JUNE 	2013	2	0	JUNE 	2013	0	0	0	0	0	0	0	0
XNFCG1	BOX120	JUNE 	2013	2	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2LT1	BOX121	JUNE 	2013	6	61	JUNE 	2013	0	0	0	0	0	0	0	0
XL2DH1	BOX122	JUNE 	2013	6	49	JUNE 	2013	0	0	0	0	0	0	0	0
XL2E41	BOX123	JUNE 	2013	5	101	JUNE 	2013	0	0	0	0	0	0	0	0
XL2F51	BOX124	JUNE 	2013	8	3	JUNE 	2013	0	67	67	34	0	0	0	0
XLXNM1	BOX125	JUNE 	2013	30	0	JUNE 	2013	0	0	0	0	0	0	0	0
XLXNM1	BOX126	JUNE 	2013	3	0	JUNE 	2013	0	0	0	0	0	0	0	0
